  8  17.144  0.0130  16.912  0.0040  16.270  0.0035  15.904  0.0056  15.471  0.0070  -0.057  -0.038  -0.010
  9  18.170  0.0233  18.045  0.0060  17.073  0.0049  16.497  0.0099  15.887  0.0088  -0.080  -0.047  -0.031
 10  18.332  0.0254  18.479  0.0088  17.550  0.0060  16.963  0.0145  16.373  0.0131  -0.026  -0.027  -0.066
 11  18.222  0.0360  17.916  0.0060  17.011  0.0060  16.466  0.0090  15.945  0.0050  +0.059  +0.018  +0.012
 12  18.761  0.0300  19.010  0.0113  18.045  0.0074  17.458  0.0180  16.899  0.0106  -0.024  -0.024  +0.003
 16  16.776  0.0180  16.544  0.0053  15.946  0.0063  15.610  0.0081  15.203  0.0063  +0.012  +0.005  +0.007
 17  16.395  0.0102  16.168  0.0031  15.638  0.0042  15.333  0.0056  14.969  0.0061  -0.081  -0.094  -0.110
 18  19.074  0.0488  19.119  0.0131  18.151  0.0063  17.545  0.0145  16.928  0.0127  -0.427  -0.181  -0.157
 20  16.517  0.0180  16.271  0.0032  15.717  0.0042  15.409  0.0042  15.031  0.0049  +0.027  +0.021  +0.029
 21  16.838  0.0344  16.577  0.0035  16.020  0.0033  15.709  0.0040  15.324  0.0056  -0.003  -0.009  -0.031
 22  18.335  0.0226  17.204  0.0071  15.767  0.0049  14.916  0.0100  14.029  0.0102  -0.012  +0.000  +0.008
 23  17.536  0.0290  16.569  0.0040  14.999  0.0035  14.090  0.0044  13.035  0.0071  +0.003  +0.002  +0.007
 24  17.344  0.0170  17.250  0.0053  16.573  0.0049  16.610  0.0057  15.688  0.0053  -0.038  -0.049  +0.365
 25  16.996  0.0187  16.781  0.0035  15.838  0.0032  15.282  0.0035  14.696  0.0039  +0.018  +0.047  +0.034
 26  17.536  0.0220  17.503  0.0070  16.731  0.0060  16.279  0.0070  15.812  0.0060  -0.017  +0.016  +0.012
 27  18.424  0.0265  18.471  0.0081  17.568  0.0057  17.016  0.0177  16.453  0.0141  -0.028  -0.007  -0.036
 28  17.840  0.0269  17.587  0.0050  16.817  0.0035  16.370  0.0077  15.892  0.0085  -0.096  -0.102  -0.115
 29  13.611  0.0110  13.675  0.0018  13.289  0.0028  13.047  0.0031  12.782  0.0042  -0.021  -0.016  -0.010
 30  13.838  0.0110  13.875  0.0021  13.470  0.0039  13.217  0.0039  12.929  0.0046  +0.095  +0.097  +0.094
 31  14.064  0.0200  14.094  0.0030  13.685  0.0030  13.419  0.0030  13.122  0.0030  +0.052  +0.088  +0.109
 32  16.253  0.0117  15.990  0.0029  15.410  0.0046  15.069  0.0058  14.646  0.0069  -0.006  +0.008  +0.020
 34  18.635  0.0320  18.632  0.0095  17.743  0.0088  17.201  0.0205  16.652  0.0152  +0.010  +0.019  +0.031
 35  18.996  0.0390  19.490  0.0191  18.315  0.0098  17.610  0.0156  17.007  0.0138  +0.113  -0.076  -0.101
 36  15.063  0.0090  15.038  0.0029  14.551  0.0042  14.263  0.0056  13.917  0.0300  +0.027  +0.025  +0.036
 37  15.330  0.0152  15.222  0.0035  14.753  0.0064  14.479  0.0040  14.149  0.0060  +0.031  +0.029  +0.037
 38  17.077  0.0159  16.816  0.0046  16.186  0.0057  15.790  0.0057  15.348  0.0057  +0.037  +0.054  +0.032
 39  18.970  0.0570  18.728  0.0200  17.640  0.0120  16.980  0.0480  16.191  0.0340  -0.063  +0.018  +0.020
